ProcedureName,ParameterName,DataType,DefaultExpression
USP_IndexOperationalStats,IndexNames,nvarchar(max),NULL
USP_IndexOperationalStats,IndexNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,AnalyseModus,varchar(16),'GEZIELT'
USP_IndexOperationalStats,PartitionNumber,int,NULL
USP_IndexOperationalStats,NurMitAktivitaet,bit,1
USP_IndexOperationalStats,MinLeafPageAllocations,bigint,0
USP_IndexOperationalStats,MinLockWaitMs,bigint,0
USP_IndexOperationalStats,MaxZeilen,int,5000
USP_IndexOperationalStats,LockTimeoutMs,int,0
USP_IndexOperationalStats,ResultSetArt,varchar(16),'CONSOLE'
USP_IndexOperationalStats,ResultTablesJson,nvarchar(max),NULL
USP_IndexOperationalStats,JsonErzeugen,bit,0
USP_IndexOperationalStats,Json,nvarchar(max),NULL OUTPUT
USP_IndexOperationalStats,PrintMeldungen,bit,1
USP_IndexOperationalStats,Hilfe,bit,0
USP_MissingIndexes,DatabaseNames,nvarchar(max),NULL
USP_MissingIndexes,SystemdatenbankenEinbeziehen,bit,0
USP_MissingIndexes,DatabaseNamePattern,nvarchar(4000),NULL
USP_MissingIndexes,HighImpactConfirmed,bit,0
USP_MissingIndexes,SchemaNames,nvarchar(max),NULL
USP_MissingIndexes,SchemaNamePattern,nvarchar(4000),NULL
USP_MissingIndexes,ObjectNames,nvarchar(max),NULL
USP_MissingIndexes,ObjectNamePattern,nvarchar(4000),NULL
USP_MissingIndexes,FullObjectNames,nvarchar(max),NULL
USP_MissingIndexes,MinUserReads,bigint,1
USP_MissingIndexes,MinAvgUserImpact,"decimal(9,2)",0
USP_MissingIndexes,MinImprovementMeasure,"decimal(28,2)",0
USP_MissingIndexes,MaxZeilen,int,5000
USP_MissingIndexes,LockTimeoutMs,int,0
USP_MissingIndexes,ResultSetArt,varchar(16),'CONSOLE'
USP_MissingIndexes,ResultTablesJson,nvarchar(max),NULL
USP_MissingIndexes,JsonErzeugen,bit,0
USP_MissingIndexes,Json,nvarchar(max),NULL OUTPUT
USP_MissingIndexes,PrintMeldungen,bit,1
USP_MissingIndexes,Hilfe,bit,0
USP_Statistics,DatabaseNames,nvarchar(max),NULL
USP_Statistics,SystemdatenbankenEinbeziehen,bit,0
USP_Statistics,DatabaseNamePattern,nvarchar(4000),NULL
USP_Statistics,HighImpactConfirmed,bit,0
USP_Statistics,SchemaNames,nvarchar(max),NULL
USP_Statistics,SchemaNamePattern,nvarchar(4000),NULL
USP_Statistics,ObjectNames,nvarchar(max),NULL
USP_Statistics,ObjectNamePattern,nvarchar(4000),NULL
USP_Statistics,FullObjectNames,nvarchar(max),NULL
USP_Statistics,StatisticsNames,nvarchar(max),NULL
USP_Statistics,StatisticsNamePattern,nvarchar(4000),NULL
USP_Statistics,AnalyseModus,varchar(16),'GEZIELT'
USP_Statistics,MinModificationPercent,"decimal(9,2)",0
USP_Statistics,MinAlterTage,int,0
USP_Statistics,MitIncrementellenDetails,bit,0
USP_Statistics,MaxZeilen,int,10000
USP_Statistics,LockTimeoutMs,int,0
USP_Statistics,ResultSetArt,varchar(16),'CONSOLE'
USP_Statistics,ResultTablesJson,nvarchar(max),NULL
USP_Statistics,JsonErzeugen,bit,0
USP_Statistics,Json,nvarchar(max),NULL OUTPUT
USP_Statistics,PrintMeldungen,bit,1
USP_Statistics,Hilfe,bit,0
USP_StatisticsDistributionAnalysis,DatabaseNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,SystemdatenbankenEinbeziehen,bit,0
USP_StatisticsDistributionAnalysis,DatabaseNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,HighImpactConfirmed,bit,0
USP_StatisticsDistributionAnalysis,SchemaNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,SchemaNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,ObjectNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,ObjectNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,FullObjectNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,StatisticsNames,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,StatisticsNamePattern,nvarchar(4000),NULL
USP_StatisticsDistributionAnalysis,AnalyseModus,varchar(16),'GEZIELT'
USP_StatisticsDistributionAnalysis,MaxVerteilungsStatistiken,int,50
USP_StatisticsDistributionAnalysis,MinVerteilungsZeilen,bigint,1000
USP_StatisticsDistributionAnalysis,SkewWarnFaktor,"decimal(19,4)",10
USP_StatisticsDistributionAnalysis,DominanterSchrittWarnPercent,"decimal(9,4)",50
USP_StatisticsDistributionAnalysis,ModificationWarnPercent,"decimal(9,4)",20
USP_StatisticsDistributionAnalysis,PartitionSpreadWarnPercent,"decimal(9,4)",20
USP_StatisticsDistributionAnalysis,MaxZeilen,int,1000
USP_StatisticsDistributionAnalysis,LockTimeoutMs,int,0
USP_StatisticsDistributionAnalysis,ResultSetArt,varchar(16),'CONSOLE'
USP_StatisticsDistributionAnalysis,ResultTablesJson,nvarchar(max),NULL
USP_StatisticsDistributionAnalysis,JsonErzeugen,bit,0
USP_StatisticsDistributionAnalysis,Json,nvarchar(max),NULL OUTPUT
USP_StatisticsDistributionAnalysis,PrintMeldungen,bit,1
USP_StatisticsDistributionAnalysis,Hilfe,bit,0
USP_StatisticsDistributionAnalysis,StatusCodeOut,varchar(40),NULL OUTPUT
USP_StatisticsDistributionAnalysis,IsPartialOut,bit,NULL OUTPUT
USP_StatisticsDistributionAnalysis,ErrorNumberOut,int,NULL OUTPUT
USP_StatisticsDistributionAnalysis,ErrorMessageOut,nvarchar(2048),NULL OUTPUT
USP_Partitions,DatabaseNames,nvarchar(max),NULL
USP_Partitions,SystemdatenbankenEinbeziehen,bit,0
USP_Partitions,DatabaseNamePattern,nvarchar(4000),NULL
USP_Partitions,HighImpactConfirmed,bit,0
USP_Partitions,SchemaNames,nvarchar(max),NULL
USP_Partitions,SchemaNamePattern,nvarchar(4000),NULL
USP_Partitions,ObjectNames,nvarchar(max),NULL
USP_Partitions,ObjectNamePattern,nvarchar(4000),NULL
USP_Partitions,FullObjectNames,nvarchar(max),NULL
USP_Partitions,AnalyseModus,varchar(16),'GEZIELT'
USP_Partitions,NurPartitionierte,bit,0
USP_Partitions,NurGemischteKompression,bit,0
USP_Partitions,MaxZeilen,int,10000
USP_Partitions,LockTimeoutMs,int,0
USP_Partitions,ResultSetArt,varchar(16),'CONSOLE'
USP_Partitions,ResultTablesJson,nvarchar(max),NULL
USP_Partitions,JsonErzeugen,bit,0
USP_Partitions,Json,nvarchar(max),NULL OUTPUT
USP_Partitions,PrintMeldungen,bit,1
USP_Partitions,Hilfe,bit,0
USP_Columnstore,DatabaseNames,nvarchar(max),NULL
USP_Columnstore,SystemdatenbankenEinbeziehen,bit,0
USP_Columnstore,DatabaseNamePattern,nvarchar(4000),NULL
USP_Columnstore,HighImpactConfirmed,bit,0
USP_Columnstore,SchemaNames,nvarchar(max),NULL
USP_Columnstore,SchemaNamePattern,nvarchar(4000),NULL
USP_Columnstore,ObjectNames,nvarchar(max),NULL
USP_Columnstore,ObjectNamePattern,nvarchar(4000),NULL
USP_Columnstore,FullObjectNames,nvarchar(max),NULL
USP_Columnstore,AnalyseModus,varchar(16),'GEZIELT'
USP_Columnstore,MitPhysicalStats,bit,0
USP_Columnstore,MitSegmenten,bit,0
USP_Columnstore,MitDictionaries,bit,0
USP_Columnstore,MinDeletedPercent,"decimal(9,2)",0
USP_Columnstore,NurProblematisch,bit,0
USP_Columnstore,MaxZeilen,int,10000
USP_Columnstore,LockTimeoutMs,int,0
USP_Columnstore,ResultSetArt,varchar(16),'CONSOLE'
USP_Columnstore,ResultTablesJson,nvarchar(max),NULL
USP_Columnstore,JsonErzeugen,bit,0
USP_Columnstore,Json,nvarchar(max),NULL OUTPUT
USP_Columnstore,PrintMeldungen,bit,1
USP_Columnstore,Hilfe,bit,0
USP_IndexPhysicalStats,DatabaseNames,nvarchar(max),NULL
USP_IndexPhysicalStats,SystemdatenbankenEinbeziehen,bit,0
USP_IndexPhysicalStats,DatabaseNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,HighImpactConfirmed,bit,0
USP_IndexPhysicalStats,SchemaNames,nvarchar(max),NULL
USP_IndexPhysicalStats,SchemaNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,ObjectNames,nvarchar(max),NULL
USP_IndexPhysicalStats,ObjectNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,FullObjectNames,nvarchar(max),NULL
USP_IndexPhysicalStats,IndexNames,nvarchar(max),NULL
USP_IndexPhysicalStats,IndexNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,AnalyseModus,varchar(16),'GEZIELT'
USP_IndexPhysicalStats,ScanMode,varchar(16),'LIMITED'
USP_IndexPhysicalStats,IndexId,int,NULL
USP_IndexPhysicalStats,PartitionNumber,int,NULL
USP_IndexPhysicalStats,MinPageCount,bigint,1000
USP_IndexPhysicalStats,MinFragmentationPercent,"decimal(9,2)",0
