TargetId,SuiteId,CommitSha,TestStatus,EvidenceStatus,TestedAtUtc,LimitationCode,EvidenceReference
SQL2022-LINUX,P2_XTP_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_XTP_NO_FORCED_HASH_SCAN,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2022-LINUX,P2_TEMPORAL_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_TEMPORAL_NO_HISTORY_DATA,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2022-LINUX,P2_BROKER_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_BROKER_NO_PAYLOAD,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2022-LINUX,P2_FULLTEXT_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_FULLTEXT_NO_LINUX_DDL,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2022-LINUX,P2_DATA_CAPTURE_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_DATA_CAPTURE_NO_PAYLOAD,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2022-LINUX,P2_ENCRYPTION_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_ENCRYPTION_NO_SECRETS,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2022-LINUX,P2_MAINTENANCE_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_MAINTENANCE_READ_ONLY,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
SQL2025-LINUX,P2_FEATURE_INVENTORY_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_FEATURE_INVENTORY_MIXED_FIXTURES,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_XTP_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_XTP_NO_FORCED_HASH_SCAN,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_TEMPORAL_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_TEMPORAL_NO_HISTORY_DATA,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_BROKER_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_BROKER_NO_PAYLOAD,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_FULLTEXT_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_FULLTEXT_NO_LINUX_DDL,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_DATA_CAPTURE_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_DATA_CAPTURE_NO_PAYLOAD,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_ENCRYPTION_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_ENCRYPTION_NO_SECRETS,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2025-LINUX,P2_MAINTENANCE_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:36:02Z,ACTIONS_SYNTHETIC_P2_MAINTENANCE_READ_ONLY,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121672
SQL2019-LINUX,TABLE_OUTPUT_RUNTIME,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:03Z,ACTIONS_SYNTHETIC_NAMED_TABLE,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738745942
SQL2019-LINUX,FRAMEWORK_OUTPUT_PILOT,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:03Z,ACTIONS_SYNTHETIC_OUTPUT_PILOT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738745942
SQL2019-LINUX,FRAMEWORK_OUTPUT_RUNTIME,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:03Z,ACTIONS_SYNTHETIC_FRAMEWORK_OUTPUT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738745942
SQL2022-LINUX,TABLE_OUTPUT_RUNTIME,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:15Z,ACTIONS_SYNTHETIC_NAMED_TABLE,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738745932
SQL2022-LINUX,FRAMEWORK_OUTPUT_PILOT,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:15Z,ACTIONS_SYNTHETIC_OUTPUT_PILOT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738745932
